name,website,address
DairyQueen,http://www.dairyqueen.com/,"54 W 14th St, New York, NY 10011",
Dave & Busters ,http://www.daveandbusters.com,"234 W 42nd St #3, New York, NY 10036",
Dinosaur Bar-B-Que,http://www.dinosaurbarbque.com,"700 W 125th StNew York, NY 10027",
Domino's Pizza,http://www.dominos.com/,"3624 BroadwayNew York, NY 10031",
Domino's Pizza,http://www.dominos.com/,"2554 7th AveNew York, NY 10039",
Domino's Pizza,http://www.dominos.com/,"409 W 125th StNew York, NY 10027",
Domino's Pizza,http://www.dominos.com/,"965 Amsterdam AveNew York, NY 10025",
Domino's Pizza,http://www.dominos.com/,"153 E 116th StNew York, NY 10029",
Domino's Pizza,http://www.dominos.com/,"1993 3rd Ave New York, NY 10029",
Domino's Pizza,http://www.dominos.com/,"592 Columbus Ave New York, NY 10024",
Domino's Pizza,http://www.dominos.com/,"200 E 89th St New York, NY 10128",
Domino's Pizza,http://www.dominos.com/,"148 W 72nd St New York, NY 10023",
Domino's Pizza,http://www.dominos.com/,"1396 1st Ave New York, NY 10021",
Domino's Pizza,http://www.dominos.com/,"943 1st Ave New York, NY 10022",
Domino's Pizza,http://www.dominos.com/,"227 W 40th St New York, NY 10018",
Domino's Pizza,http://www.dominos.com/,"464 3rd Ave New York, NY 10016",
Domino's Pizza,http://www.dominos.com/,"170 W 23rd St New York, NY 10011",
Domino's Pizza,http://www.dominos.com/,"16 W 8th St New York, NY 10011",
Domino's Pizza,http://www.dominos.com/,"205 Allen St New York, NY 10002",
Domino's Pizza,http://www.dominos.com/,"181 Church St New York, NY 10007",
Domino's Pizza,http://www.dominos.com/,"736 W 181st St New York, NY 10033",
Domino's Pizza,http://www.dominos.com/,"4797 Broadway New York, NY 10034",
Fatburger,http://www.fatburger.com/,"509 3rd Avenue New York, NY 10016",
Get Cosi,www.getcosi.com,"38 E. 45th St New York, NY 10017",
Get Cosi,www.getcosi.com,"60 East 56 St New York, NY 10022",
Get Cosi,www.getcosi.com,"55 Broad St. New York, NY 10004",
Get Cosi,www.getcosi.com,"1633 Broadway New York, NY 10019",
Get Cosi,www.getcosi.com,"61 West 48 St New York, NY 10020",
Get Cosi,www.getcosi.com,"685 Third Ave New York, NY 10017",
Get Cosi,www.getcosi.com,"461 Park Ave South New York, NY 10016",
Get Cosi,www.getcosi.com,"50 Purchase Street Rye, NY 10580",
Get Cosi,www.getcosi.com,"841 Broadway New York, NY 10003",
Get Cosi,www.getcosi.com,"15 S. Moger Avenue Mt. Kisco, NY 10549",
Get Cosi,www.getcosi.com,"1298 Boston Post Road Larchmont, NY 10538",
Get Cosi,www.getcosi.com,"77 Quaker Ridge Road New Rochelle, NY 10804",
Get Cosi,www.getcosi.com,"498 Seventh Ave New York, NY 10018",
Get Cosi,www.getcosi.com,"700 Sixth Ave. New York, NY 10010",
Get Cosi,www.getcosi.com,"441 S Oyster Bay Road Plainview, NY 11803",
Get Cosi,www.getcosi.com,"53 E. 8th St. New York, NY 10003",
Get Cosi,www.getcosi.com,"441 E. Fordham Rd. Bronx, NY 10458",
Gloria Jean's Coffees,https://www.gloriajeans.com,"646 Eastview Mall Victor, New York 14564",
The Greene Turtle,http://thegreeneturtle.com/,"700 Hempstead Tpke Franklin Square, NY 11010",
